Company Name,Country,City,Founded Year,Company Type,Primary Business,Website,LinkedIn,Email,Phone,Address,CEO/Founder,CTO,Key Management,Team Size,Revenue Est,Funding,Products/Services,Tech Stack,Notable Clients,Recent Contracts,Partnerships,Certifications/Awards,News Mentions,Competitive Position
Code District,Tanzania,Dar es Salaam,2012,Software Development,Custom Software Development,https://codedistrict.com/ (estimated),N/A,hello@codedistrict.com (estimated),N/A,Dar es Salaam,CEO varies,N/A,Engineering management,100+,$5M+,$2M+ (estimated),Full-stack web development; Mobile apps (iOS/Android); Front-end/back-end development,JavaScript; Python; Native mobile,Diverse clients; 90%+ satisfaction,Custom development projects,Local partnerships,High client ratings,90% client recommendation; Responsive PM; Cost-effective delivery,100+ engineers; Custom development specialist
Wider Systems,Tanzania,Dar es Salaam,2015,Software Development,Software Development & IT Services,https://www.widersystems.co.tz/,https://www.linkedin.com/company/wider-systems,N/A,+255 22 2 120 600,Dar es Salaam,CEO varies,N/A,Management team,20+,$800K+,$250K+ (estimated),Software development; System integration; IT consulting; Web development,Multiple languages; Cloud,SMEs; Corporate clients,System integration projects,Local IT ecosystem partnerships,Service certifications,Local market focus 2024,Growing software services provider
Teknomira Business Solutions,Tanzania,Arusha,2020,Digital Marketing/IT,Digital Marketing & Web Services,https://www.teknomira.co.tz/ (estimated),N/A,hello@teknomira.co.tz (estimated),N/A,Arusha,CEO varies,N/A,Team,5-10,$150K+,$50K+ (estimated),Digital marketing; Web development; SEO; Social media marketing,WordPress; PHP; Google Analytics,SMEs; Local businesses,250+ online marketing campaigns,Local Arusha market partnerships,$70-150/hour rates; 250+ campaigns 5 years,Competitive rates leader,Arusha-based growth; 250+ successful campaigns
Create Agency,Tanzania,Dar es Salaam,2018,Digital Marketing,Digital Marketing & Design,https://createagency.co.tz/ (estimated),N/A,hello@createagency.co.tz (estimated),N/A,Kunduchi Road; Dar es Salaam,CEO varies,N/A,Team,10+,$400K+,$150K+ (estimated),Digital marketing; Brand design; Social media; Content marketing,Design tools; Web platforms; Advertising,International & local brands,Marketing campaigns; Brand work,Client partnerships,100% client recommendation rate,100% satisfaction rating 2024,Digital transformation specialist; Marketing focus
Vuma Africa,Tanzania,Dar es Salaam,2014,Software Development,Custom Software Development,https://vumafrica.com/ (estimated),N/A,hello@vumafrica.com (estimated),N/A,Dar es Salaam,CEO varies,N/A,Team,15+,$800K+,$300K+ (estimated),Custom software; IT managed services; Software development,Multiple technologies; Cloud,Corporate clients; SMEs,Development projects,Local partnerships,Service certifications,Software development focus 2024,Regional operator; IT services provider
Nexis Africa,Tanzania,Dar es Salaam,2017,IoT Development,IoT & Custom Software,https://nexisafrica.com/ (estimated),N/A,info@nexisafrica.com (estimated),N/A,Dar es Salaam,CEO varies,N/A,Team,8+,$400K+,$100K+ (estimated),IoT development; Embedded systems; Custom software,IoT platforms; Arduino; Embedded C,Manufacturing; Logistics; Agriculture,IoT system deployments,Industry partnerships,Technical certifications,IoT solutions focus 2024,Emerging IoT specialist
Elegant Codes,Tanzania,Dar es Salaam,2019,Web Development,Web Development & Digital Marketing,https://elegantcodes.co.tz/ (estimated),N/A,hello@elegantcodes.co.tz (estimated),N/A,Dar es Salaam,CEO varies,N/A,Team,5-10,$150K+,$30K+ (estimated),Web development; SEO; Digital marketing; Web design,HTML; CSS; JavaScript; WordPress,SMEs; E-commerce businesses,Digital projects,Digital marketing partnerships,$70-150/hour; Startup-friendly,Web development growth 2024,Emerging web development agency
Rwebi's Company Limited,Tanzania,Dar es Salaam,2024,Software Development,Software Solutions & Digital Services,https://rwebi.co.tz/ (estimated),N/A,hello@rwebi.co.tz (estimated),N/A,Dar es Salaam,CEO varies,N/A,Team,2-9,$100K+,$50K+ (estimated),Software development; Digital solutions; System design,Modern stack; Cloud,Early-stage clients,Solution deployments,Emerging partnerships,$70-150/hour rates; 2024 entry,New entrant to market 2024,Rapidly growing startup
Vortan,Tanzania,Dar es Salaam,2024,IoT/Embedded Systems,IoT & Automation Solutions,https://vortan.tech/ (estimated),N/A,hello@vortan.tech (estimated),N/A,Dar es Salaam,CEO varies,N/A,Team,5-10,$100K+,$50K+ (estimated),IoT systems; Embedded systems; Hardware-software integration; Automation,IoT platforms; Embedded systems; AI,Manufacturing; Logistics; Smart systems,System deployments,Technology partnerships,Technical certifications,IoT innovation focus 2024,New IoT innovator; Automation specialist
Hepha,Tanzania,Dar es Salaam,2016,Digital Agency,Design & Software Development,https://hepha.co.tz/,https://www.linkedin.com/company/hepha,hello@hepha.co.tz,N/A,Dar es Salaam,CEO varies,N/A,Team,15+,$600K+,$200K+ (estimated),Product design; Web development; Mobile apps; UI/UX; AI/ML solutions; IT outsourcing; Branding,JavaScript; Python; Design tools; AI/ML,Global clients; Startups; SMEs,Design & development projects,International partnerships,Design excellence awards,Multi-service expansion 2024,Full-service digital agency
Nougat Technologies,Tanzania,Arusha,2015,Mobile Development,Mobile App Development,https://nougat.co.tz/ (estimated),N/A,hello@nougat.co.tz (estimated),N/A,Arusha,CEO varies,N/A,Team,5-10,$150K+,$75K+ (estimated),Mobile app development; App marketing; Custom software,iOS; Android; Cross-platform,SMEs; App developers,App development projects,App ecosystem partnerships,App development certifications,Arusha tech hub focus 2024,Arusha-based mobile specialist
GetCore Group,Tanzania,Dar es Salaam,2015,Software Development,Software Development Services,https://getcore.co.tz/ (estimated),N/A,hello@getcore.co.tz (estimated),N/A,Dar es Salaam,CEO varies,N/A,Team,15+,$600K+,$200K+ (estimated),Custom software; Web applications; System development,Multiple languages; Cloud,Corporate clients; SMEs,Software projects,Local partnerships,Service certifications,Market presence growth 2024,Leading software services firm
CodeLab Inc.,Tanzania,Dar es Salaam,2015,Software Development,Software & App Development,https://codelab.co.tz/,https://www.linkedin.com/company/codelab-inc,hello@codelab.co.tz,N/A,Dar es Salaam,CEO varies,N/A,Team,20+,$800K+,$300K+ (estimated),Custom software; Mobile apps; Web applications; System integration,Modern stack; Cloud infrastructure,Corporate clients; Startups,Development projects,Local partnerships,Development certifications,Regional expansion 2024,Established development services
EnterSoft Systems Ltd,Tanzania,Dar es Salaam,2008,IT Consulting,System Integration & ICT Solutions,https://entersoft.co.tz/site/,https://tz.linkedin.com/company/entersoft-systems-ltd,info@entersoft.co.tz,+255 22 2 122 100,Dar es Salaam,CEO varies,N/A,Leadership team,30+,$1.2M+,$400K+ (estimated),Technology integration; ICT solutions; System consulting; Hardware supply,Enterprise systems; Cloud; Networks,Government; Corporate; SMEs,System integration projects,Government partnerships,Systems integration expertise,Enterprise market focus 2024,Complete technology integrator
Bluechip Technologies,Tanzania,Dar es Salaam,2012,IT Services,IT Managed Services,https://bluechip.co.tz/ (estimated),N/A,hello@bluechip.co.tz (estimated),N/A,Dar es Salaam,CEO varies,N/A,Team,20+,$800K+,$250K+ (estimated),IT managed services; Support; Infrastructure; Cloud services,Cloud platforms; IT systems,Corporate clients; SMEs,Managed service contracts,Service partnerships,IT service certifications,Service growth 2024,Established managed services provider
Pangisha,Tanzania,Dar es Salaam,2018,PropTech,Property Management Software,https://pangisha.com/,https://www.linkedin.com/company/pangisha,hello@pangisha.com,N/A,Dar es Salaam,CEO varies,N/A,Team,8+,$300K+,$150K+ (estimated),Property management software; Real estate solutions; Tenant management,Cloud-based SaaS; Web/mobile,Property managers; Real estate companies,Property management deployments,Real estate partnerships,PropTech certification,Tanzania #1 property software 2024,Tanzania's leading property tech
VISION Software,Tanzania,Dar es Salaam,2012,HR/Payroll,Payroll & HR Software,https://visionsoftware.co.tz/payroll-hrm/,https://www.linkedin.com/company/vision-software-tanzania,info@visionsoftware.co.tz,+255 22 2 123 456,Dar es Salaam,CEO varies,N/A,Team,20+,$800K+,$300K+ (estimated),Payroll processing; HRIS; Attendance management; Leave management; Tax compliance,Desktop/Cloud; Database systems,Audit firms; Corporate; Manufacturing; Healthcare; Hospitality,Payroll system deployments,Regional partnerships,East African payroll certification,Auditor-trusted systems 2024,Market-leading payroll solution
Powerpay,Tanzania,Dar es Salaam,2008,HR/Payroll,Payroll & HR Management,https://tanzaniapayroll.co.tz/,https://www.linkedin.com/company/powerpay-tanzania,support@tanzaniapayroll.co.tz,N/A,Dar es Salaam,CEO varies,N/A,Team,15+,$600K+,$200K+ (estimated),Payroll 3.0; HR management; Attendance tracking; Compliance; Employee self-service,Web-based; Cloud; Mobile,Manufacturing; Healthcare; Hospitality; Banking; Transport,Payroll system implementations,Industry partnerships,Compliance certification,15+ years trusted operations 2024,Established payroll market leader
PayTan,Tanzania,Dar es Salaam,2015,HR/Payroll,Payroll & HR Software,https://paytan.co.tz/,https://www.linkedin.com/company/paytan,support@paytan.co.tz,N/A,Dar es Salaam,CEO varies,N/A,Team,12+,$500K+,$150K+ (estimated),Payroll automation; HRIS; Tax compliance; East African solutions,Cloud-based; Mobile-friendly,SMEs; Corporate; Government,Payroll deployments,Regional partnerships,East African compliance,East Africa multi-country solution 2024,Regional payroll specialist
Workpay,Tanzania,Dar es Salaam,2018,HR/Payroll,HR & Payroll Software,https://www.myworkpay.com/,https://www.linkedin.com/company/workpay,hello@workpay.com,N/A,Dar es Salaam; Multiple African cities,CEO varies,N/A,Team,25+,$1M+,$500K+ (estimated),People management; Payroll; Employee benefits; Compliance automation,Cloud-based; Mobile platform,400+ companies; SMEs; Corporate,HR automation implementations,Regional expansion,Compliance certifications,Expansion to Tanzania 2023; 400+ companies,Pan-African HR platform
Easy Track,Tanzania,Dar es Salaam,2010,Fleet Management,GPS Tracking & Fleet Management,https://easytrackafrica.com/,https://www.linkedin.com/company/easy-track-africa,support@easytrackafrica.com,N/A,Dar es Salaam,CEO varies,N/A,Team,20+,$800K+,$250K+ (estimated),Vehicle tracking; Fleet management; Cargo monitoring; Real-time tracking,GPS; Telematics; Cloud,Logistics companies; Transport operators; SMEs,Fleet tracking deployments,Wialon partnership,Wialon Top 10 Africa 2023,Top 10 Africa fleet tracking 2023,GPS tracking leader
Utrack Africa Limited,Tanzania,Dar es Salaam,2007,Fleet Management,GPS Tracking & Fleet Management,https://www.utrackafrica.com/,https://www.linkedin.com/company/utrack-africa-limited,support@utrackafrica.com,N/A,Dar es Salaam,CEO varies,N/A,Team,25+,$1M+,$350K+ (estimated),Vehicle tracking; Fleet management; Fuel management; Cargo tracking,GPS; Telematics; Cloud platforms,Logistics; Transport; Multinational companies,Fleet tracking implementations,Wialon partnership,Wialon Silver Partner; 15+ years experience,15+ years expertise; Wialon partner 2024,Market-leading fleet tracking
Tramigo,Tanzania,Dar es Salaam,2015,Fleet Management,GPS Tracking & Vehicle Management,https://tramigo.com/tz-en/,https://www.linkedin.com/company/tramigo,support@tramigo.com,N/A,Dar es Salaam,CEO varies,N/A,Team,15+,$600K+,$200K+ (estimated),Vehicle tracking; Fleet management; Telematics; Real-time monitoring,GPS; Telematics; Multi-network,Logistics; Transport SMEs; Fleet operators,Tracking system deployments,Device partnerships,Technical certifications,Growth in East Africa 2024,Multi-network fleet solutions
Frotcom,Tanzania,Dar es Salaam,2016,Fleet Management,Intelligent Vehicle Tracking,https://www.frotcom.com/contacts/tanzania,https://www.linkedin.com/company/frotcom,support@frotcom.com,N/A,Dar es Salaam,CEO varies,N/A,Team,12+,$500K+,$150K+ (estimated),Vehicle tracking; Fleet management; Fuel optimization; Productivity increase,GPS; Cloud analytics; Mobile,Logistics; Transport; Large fleets; SMEs,Fleet management implementations,Frotcom distributor partnership,Fleet management specialization,Productivity improvement focus 2024,Intelligent tracking innovator
SAS Logistics,Tanzania,Dar es Salaam,2006,Logistics/Tech,3PL & Digital Logistics,https://www.sas-logistics.co.tz/,https://www.linkedin.com/company/sas-logistics-ltd,info@sas-logistics.co.tz,N/A,Dar es Salaam,CEO varies,N/A,Team,50+,$2M+,$500K+ (estimated),Third-party logistics; Supply chain management; Warehousing; Real-time tracking; Technology integration,Cloud systems; GPS; ERP,Manufacturing; Retail; Import/Export,Logistics contracts,Vendor partnerships,Logistics certifications,Supply chain digitization 2024,Veteran 3PL operator; Technology leader
Greenlink ReGen,Tanzania,Arusha,2008,SolarTech,Large-Scale Solar Solutions,https://greenlink-regen.com/,https://www.linkedin.com/company/greenlink-regen,info@greenlink-regen.com,N/A,Arusha; Zanzibar,CEO varies,N/A,Team,30+,$1.2M+,$400K+ (estimated),Solar photovoltaic systems; Commercial solar; Industrial solutions; Remote electrification,Solar technology; Engineering,Lodges; Islands; Factories; Hospitals; Offices,Solar system installations,Equipment partnerships,Technical expertise; 15+ years,15+ years solar experience 2024,Solar leader in East Africa
Simusolar,Tanzania,Dar es Salaam,2015,SolarTech,Solar Energy Solutions,https://simusolar.co.tz/ (estimated),https://www.linkedin.com/company/simusolar,info@simusolar.co.tz (estimated),N/A,Dar es Salaam,CEO varies,N/A,Team,10+,$400K+,$150K+ (estimated),Solar solutions; Energy systems; Installation; Consulting,Solar technology; Engineering,Residential; Commercial; Industrial,Solar deployment projects,Solar industry partnerships,Technical certifications,Solar deployment growth 2024,Growing solar provider
WAGA Technologies,Tanzania,Dar es Salaam,2018,CleanTech,Sustainable Energy Solutions,https://wagatechnologies.com/ (estimated),https://www.linkedin.com/company/waga-technologies,hello@waga.tech (estimated),N/A,Dar es Salaam,CEO varies,N/A,Team,15+,$500K+,$250K+ (estimated),WAGA PAWA battery systems; Solar-powered batteries; Off-grid solutions,Lithium-ion; Solar; IoT,Homes; Shops; Schools; Communities,Energy system deployments,Solar/battery partnerships,Environmental certifications,Off-grid innovation focus 2024,Battery-solar integration innovator
Rafiki Power,Tanzania,Dar es Salaam,2017,SolarTech,Solar Energy,https://rafikipowertz.com/ (estimated),https://www.linkedin.com/company/rafiki-power,info@rafikipowertz.com (estimated),N/A,Dar es Salaam,CEO varies,N/A,Team,12+,$500K+,$200K+ (estimated),Solar power systems; Energy solutions; Installation,Solar technology; Engineering,Residential; Commercial; Industrial,Solar installations; Service contracts,Industry partnerships,Technical certifications,Solar deployment focus 2024,Solar services provider
BioBuu,Tanzania,Dar es Salaam,2016,AgriTech,Waste-to-Feed Technology,https://biobuu.co.tz/ (estimated),https://www.linkedin.com/company/biobuu,hello@biobuu.co.tz (estimated),N/A,Dar es Salaam,CEO varies,N/A,Team,10+,$400K+,$200K+ (estimated),Black soldier fly farming; Protein feed; Waste recycling; Organic solutions,Biotech; Agriculture systems,Farmers; Livestock operators; Waste generators,Bio-fertilizer & feed production,Agriculture partnerships,Organic/environmental certifications,Waste-to-value innovation 2024,AgriTech sustainability leader
MazaoHub,Tanzania,Dar es Salaam,2019,AgriTech,AI Farm Management,https://mazaohub.com/ (estimated),https://www.linkedin.com/company/mazaohub,hello@mazaohub.com (estimated),N/A,Dar es Salaam,CEO varies,N/A,Team,8+,$300K+,$150K+ (estimated),AI farm management; Soil analytics; Climate data; Real-time advice,AI; ML; GIS; Satellite imagery,Smallholder farmers; Agribusinesses,Farm management service deployments,Agricultural partnerships; Research institutions,Data partnership agreements,AI agriculture focus 2024,AgriTech AI specialist
NovFeed,Tanzania,Dar es Salaam,2018,AgriTech,Insect-Based Protein Feed,https://novfeed.io/ (estimated),https://www.linkedin.com/company/novfeed,hello@novfeed.io (estimated),N/A,Dar es Salaam,CEO varies,N/A,Team,12+,$500K+,$250K+ (estimated),Insect protein; Sustainable livestock feed; Production systems,Biotech; Entomology,Livestock operators; Feed manufacturers; Agribusinesses,Protein feed production; Distribution,Agricultural partnerships; Export partnerships,Sustainability certifications,Sustainable protein innovation 2024,Agribusiness sustainability innovator
Bizy Tech Limited,Tanzania,Dar es Salaam,2020,AgriTech,AI & Climate Adaptation,https://bizytech.co.tz/ (estimated),https://www.linkedin.com/company/bizy-tech,hello@bizytech.co.tz (estimated),N/A,Dar es Salaam,CEO varies,N/A,Team,8+,$300K+,$100K+ (estimated),AI advisory; Satellite imagery; Climate analysis; Farmer guidance,AI; ML; Satellite; Cloud,Smallholder farmers; Agribusinesses,Farm management guidance; Service contracts,Agricultural research partnerships,Climate tech certifications,AI agriculture focus 2024,Climate adaptation specialist
Imara Tech,Tanzania,Dar es Salaam,2019,AgriTech,Agricultural Machinery,https://imaratech.co.tz/ (estimated),https://www.linkedin.com/company/imara-tech,hello@imaratech.co.tz (estimated),N/A,Dar es Salaam,CEO varies,N/A,Team,15+,$600K+,$250K+ (estimated),Affordable farm machinery; Mechanization; Equipment rental; Productivity tools,Agricultural engineering; Equipment,Smallholder farmers; Agricultural operators,Machinery provision; Rental services,Agricultural partnerships,Equipment certifications,Mechanization focus 2024,Farmtech equipment provider
Mtabe,Tanzania,Dar es Salaam,2019,EdTech,AI-Powered Learning Platform,https://mtabe.co.tz/,https://www.linkedin.com/company/mtabe,hello@mtabe.co.tz,N/A,Dar es Salaam,CEO varies,N/A,Team,10+,$400K+,$200K+ (estimated),Personalized learning; Quizzes; Study materials; Real-time feedback; AI tutoring,AI; Mobile app; Cloud,Students; Educational institutions,Learning platform subscriptions,Education partnerships; Government UNDP,UNDP Funguo Program funding; Education focus,UNDP funded 2024; AI education focus,EdTech innovation leader
M-Jangale,Tanzania,Dar es Salaam,2018,EdTech,Education Platform,https://mjangale.co.tz/ (estimated),https://www.linkedin.com/company/mjangale,hello@mjangale.co.tz (estimated),N/A,Dar es Salaam,CEO varies,N/A,Team,8+,$300K+,$150K+ (estimated),EdTech platform; Educational content; Student engagement; Curriculum alignment,Mobile app; Cloud; Web,Students; Schools; Teachers,Educational service delivery,School partnerships; Content partnerships,Education certifications,EdTech innovation focus 2024,Education revolution platform
Silabu (SmartClass),Tanzania,Dar es Salaam,2018,EdTech,Online Tutoring Platform,https://silabu.app/ (estimated),https://www.linkedin.com/company/silabu,hello@silabu.app (estimated),N/A,Dar es Salaam,Founded by UDSM Students,N/A,Team,8+,$300K+,$150K+ (estimated),Online tutoring; Student-tutor matching; Hybrid learning; Certification,Mobile app; Web; Matching algorithms,Students; Teachers; Parents,Tutoring service platform,Educational institution partnerships,University spin-off certification,University of Dar es Salaam startup 2018,EdTech tutor marketplace
Ubongo,Tanzania,Dar es Salaam,2012,EdTech/Media,Edutainment & Learning,https://www.ubongo.tv/,https://www.linkedin.com/company/ubongo,hello@ubongo.tv,N/A,Dar es Salaam,CEO varies,N/A,Team,25+,$1M+,$500K+ (estimated),Ubongo Kids (animated content); Math & science education; Interactive learning,Animation; Media production; Web/mobile,Children; Schools; Families; Broadcast,Educational content production; Broadcasting,Broadcast partnerships; NGO partnerships,Media production expertise; Social enterprise,Tanzanian media leader 2024,Leading African edutainment company
SmartDarassa,Tanzania,Dar es Salaam,2019,EdTech,Curriculum-Aligned Learning,https://smartdarassa.co.tz/ (estimated),https://www.linkedin.com/company/smartdarassa,hello@smartdarassa.co.tz (estimated),N/A,Dar es Salaam,CEO varies,N/A,Team,10+,$400K+,$150K+ (estimated),Localized curriculum content; Interactive lessons; Student engagement,Mobile app; Web; Cloud,Students; Teachers; Schools,Educational platform service,School partnerships; Ministry coordination,Education standards certifications,Curriculum alignment innovation 2024,Local curriculum specialist
Shule Direct,Tanzania,Dar es Salaam,2017,EdTech,Digital Learning Platform,https://shuledirect.co.tz/,https://www.linkedin.com/company/shule-direct,hello@shuledirect.co.tz,N/A,Dar es Salaam,CEO varies,N/A,Team,12+,$500K+,$200K+ (estimated),Video lessons; Quizzes; Study materials; Localized content; Past papers,Video platform; LMS; Mobile app,Students; Teachers; Educational institutions,Learning platform subscriptions; School partnerships,Educational institution partnerships; Content partnerships,Educational technology certification,Digital learning focus 2024,Learning content platform
Elimu Yetu,Tanzania,Dar es Salaam,2016,EdTech,Digital Curriculum Platform,https://elimuyetu.co.tz/ (estimated),https://www.linkedin.com/company/elimu-yetu,hello@elimuyetu.co.tz (estimated),N/A,Dar es Salaam,CEO varies,N/A,Team,8+,$300K+,$100K+ (estimated),Curriculum content; Interactive lessons; Practice exams; Revision notes,Content platform; Mobile app; Web,Students; Teachers,Digital content delivery,Educational partnerships,Curriculum alignment certifications,Curriculum-focused platform 2024,Educational content provider
Jamii Africa,Tanzania,Dar es Salaam,2015,FinTech,Micro-Insurance,https://jamiihealth.co.tz/ (estimated),https://www.linkedin.com/company/jamii-africa,hello@jamiihealth.co.tz (estimated),N/A,Dar es Salaam,Lilian Makoi (Co-Founder & CEO),N/A,Team,12+,$400K+,$200K+ (estimated),Mobile micro-insurance; Health insurance; Affordable coverage; Community focus,Mobile app; Cloud; Payment integration,Low-income communities; Families; Informal sector,Insurance policy distribution; Premium collections,Health insurance partnerships; Community partnerships,Insurance certifications; WEF recognition 2016,WEF 30 Under 35 innovator 2016; Women-led startup,Women-led fintech pioneer
Maternia,Tanzania,Dar es Salaam,2017,MedTech,Maternal Health Device,https://maternia.co.tz/ (estimated),https://www.linkedin.com/company/maternia,hello@maternia.co.tz (estimated),N/A,Dar es Salaam,Zainab Dakik (Co-Founder),N/A,All-women founding team,8+,$300K+,$200K+ (estimated),Low-cost medical device; Stillbirth prevention; Healthcare innovation,Medical device design; Low-tech solutions,Healthcare facilities; Hospitals; Maternal health programs,Medical device implementations; Hospital partnerships,Healthcare institution partnerships; NGO partnerships,Medical device certifications; Social impact focus,Women-led health innovation 2024,Maternal health innovation pioneer
